"Название";"groupid"
"Аналитика";1
"Бизнес-аналитика";1
"Системная аналитика";1
"Web-аналитика";2
"Аналитика данных";3
"Разработка";4
"Web-разработка";5
"Мобильная разработка";6
"Front-end разработка";5
"Back-end разработка";7
"1С разработка";8
"SAP разработка";9
"Дизайн";10
"Web-дизайн";10
"Мобильный дизайн";10
"UX исследования";11
"UX проектирование";11
"Управление продуктом и проектом";12
"Продуктовый менеджмент";12
"Проектный менеджмент";12
"Тестирование";13
"Ручное тестирование";13
"Автоматизированное тестирование";13
"Сопровождение";14
"Техническая поддержка";14
"Администрирование";15
"Devops";15
"Администрирование БД";15
"Архитектура";16
"Информационная безопасность";17
"Контекстная и таргетированная реклама";18
"PR";19
"SMM";19
"Продвижение на маркетплейсах";19
"Контент-маркетинг";19
"Маркетинг";18
"SEO и трафик";18
"Фото и видео";20
"Аудио";20
"Тексты и переводы";21
"Брендинг и айдентика";22
"Арт-искусство";22
"Бухгалтерский учет";23
"Финансовый анализ";23
"Аудит и контроль";23
"Управленческий учет";23
"Право и юриспруденция";24
"Подбор персонала";25
"Забота о персонале";25
"Кадровое администрирование";25
"B2B и B2C продажи";26
"Телемаркетинг и онлайн продажи";26
"Клипмейкеры";27
"Макияж и стиль";28
"Обучение";29
"Исполнительные директора";30
"Функциональные директора";30
"Независимые директора";30
"Инженеры";31
