Название
Системный архитектор
Solution architect
Функциональный архитектор
Архитектор 1С
Kotlin (android)
Swift (iOS)
Flutter
React Native
Angular
React
Vue
UX/UI дизайнер
Технический писатель
Бизнес аналитик
Системный аналитик
Бизнес/системный аналитик
BI аналитик
Data аналитик
Data engineer
Data Scientists
DevOps
DWH разработчик
Разработчик баз данных
Full-stack
C++
.Net C#
Go
Java
Node.js
PHP
Python
Ruby
Scala
Product аналитик
Product manager
Product Owner
Project manager
Релиз менеджер
Scrum master
QA auto
QA manual
QA load (нагрузочник)
SQL разработчик
SRE
ML разработчик
1С разработчик
Аналитик 1С
SAP разработчик
Системный администратор
Разработчик Битрикс24
Аналитик Битрикс24
