specialization;role
Системный аналитик;Системный аналитик
Бизнес аналитик;Бизнес аналитик
Бизнес/системный аналитик;Бизнес/системный аналитик
Аналитик BI;BI аналитик
Data аналитик;Data аналитик
Data инженер;Data engineer
Data Scientist;Data Scientists
DWH разработчик;DWH разработчик
Разработчик баз данных;Разработчик баз данных
Разработчик SQL;SQL разработчик
Java разработчик;Java
Python разработчик;Python
Golang разработчик;Go
PHP разработчик;PHP
NodeJS разработчик;Node.js
Ruby разработчик;Ruby
Scala разработчик;Scala
C++ разработчик;C++
.NET разработчик;.Net C#
C# разработчик;.Net C#
React разработчик;React
Angular разработчик;Angular
Vue.js разработчик;Vue
React Native разработчик;React Native
Flutter разработчик;Flutter
Kotlin разработчик;Kotlin (android)
Android разработчик;Kotlin (android)
IOS разработчик;Swift (iOS)
Full Stack разработчик;Full-stack
DevOps;DevOps
SRE;SRE
ML разработчик;ML разработчик
QA ручной;QA manual
QA авто;QA auto
QA нагрузочный;QA load (нагрузочник)
UX/UI дизайнер;UX/UI дизайнер
Технический писатель;Технический писатель
Системный администратор;Системный администратор
Руководитель проекта;Project manager
Product manager;Product manager
Product owner;Product Owner
Продуктовый аналитик;Product аналитик
Scrum master;Scrum master
Релиз менеджер;Релиз менеджер
1С разработчик;1С разработчик
Аналитик 1С;Аналитик 1С
Архитектор 1С;Архитектор 1С
Solution архитектор;Solution architect
Системный архитектор;Системный архитектор
Функциональный архитектор;Функциональный архитектор
SAP разработчик;SAP разработчик
Разработчик Битрикс24;Разработчик Битрикс24
Аналитик Битрикс24;Аналитик Битрикс24
