specialization;category
.NET разработчик;Back-end разработка
1С разработчик;1С разработка
1С эксперт;1С разработка
3D дизайнер;Дизайн
3D моделлер;Дизайн
AI-разработчик;Аналитика данных
Android разработчик;Мобильная разработка
Angular разработчик;Front-end разработка
Astra Linux разработчик (языки C);Back-end разработка
Atlassian разработчик;Back-end разработка
Backend разработчик;Back-end разработка
C разработчик;Back-end разработка
C# разработчик;Back-end разработка
C++ разработчик;Back-end разработка
Data Quality инженер;Аналитика данных
Data Scientist;Аналитика данных
Data аналитик;Аналитика данных
Data инженер;Аналитика данных
Delphi разработчик;Back-end разработка
DevOps;Devops
DWH разработчик;Аналитика данных
Email-маркетолог;Контент-маркетинг
Embedded Linux разработчик;Back-end разработка
ETL разработчик;Аналитика данных
Event-менеджер;PR
Flutter разработчик;Мобильная разработка
Frontend разработчик;Front-end разработка
Full Stack разработчик;Web-разработка
GameDev разработчик;Back-end разработка
Golang разработчик;Back-end разработка
GR-менеджер;PR
HR бизнес-партнер;Забота о персонале
Insight разработчик;Back-end разработка
IOS разработчик;Мобильная разработка
IT-рекрутер;Подбор персонала
Java разработчик;Back-end разработка
JavaScript разработчик;Front-end разработка
Kotlin разработчик;Мобильная разработка
LLM исследователь;Аналитика данных
MacOS разработчик;Мобильная разработка
ML разработчик;Аналитика данных
MLOps;Devops
Motion-дизайнер;Дизайн
MS Dynamics разработчик;Back-end разработка
NestJS разработчик;Front-end разработка
NodeJS разработчик;Front-end разработка
Oracle аналитик;Back-end разработка
Oracle разработчик;Back-end разработка
Pega разработчик;Back-end разработка
PHP разработчик;Back-end разработка
PR-менеджер;PR
Product owner;Продуктовый менеджмент
Python разработчик;Back-end разработка
QA FullStack;Web-разработка
QA авто;Автоматизированное тестирование
QA мобильный;Ручное тестирование
QA нагрузочный;Автоматизированное тестирование
QA ручной;Ручное тестирование
React Native разработчик;Мобильная разработка
React разработчик;Front-end разработка
RPA разработчик;Back-end разработка
Ruby разработчик;Back-end разработка
Rust разработчик;Back-end разработка
Scala разработчик;Back-end разработка
Scrum Master;Проектный менеджмент
SEO специалист;SEO и трафик
Siebel разработчик;Back-end разработка
SMM-менеджер;SMM
Software архитектор;Архитектура
Solution архитектор;Архитектура
SRE инженер;Devops
Unity разработчик;Back-end разработка
UX исследователь;UX исследования
UX проектировщик;UX проектирование
UX-писатель;UX проектирование
UX/UI дизайнер;Web-дизайн
Vue.js разработчик;Front-end разработка
Web аналитик;Web-аналитика
Web дизайнер;Web-дизайн
Web разработчик;Web-разработка
Webtutor разработчик;Back-end разработка
WMS Аналитик;Бизнес-аналитика
Xamarin разработчик;Мобильная разработка
Администратор 1С;Кадровое администрирование
Администратор Teamcenter;Администрирование
Администратор баз данных;Администрирование БД
Администратор отдела;Кадровое администрирование
Администратор офиса;Кадровое администрирование
Администратор проектов;Проектный менеджмент
Администратор тестовых сред;Devops
Аккаунт менеджер;B2B и B2C продажи
Актер;Аудио
Аналитик 1С;Бизнес-аналитика
Аналитик AI-агентов;Аналитика данных
Аналитик BI;Аналитика данных
Аналитик DWH;Аналитика данных
Аналитик SAP Commerce;Бизнес-аналитика
Аналитик Битрикс24;Web-разработка
Аналитик ЕХД;Аналитика данных
Аналитик информационной безопасности;Информационная безопасность
Архитектор;Архитектура
Архитектор 1С;Архитектура
Архитектор Camunda;Архитектура
Архитектор SAP TOPO;Архитектура
Архитектор ИИ агентов;Архитектура
Ассистент;Кадровое администрирование
Аудиомонтажер;Аудио
Аудитор;Аудит и контроль
Бизнес аналитик;Бизнес-аналитика
Бизнес аналитик 1С;Бизнес-аналитика
Бизнес/системный аналитик;Системная аналитика
Битрикс разработчик;Web-разработка
Битрикс24 разработчик;Web-разработка
Бренд-дизайнер;Дизайн
Бренд-менеджер;Маркетинг
Бухгалтер;Бухгалтерский учет
Верстальщик;Front-end разработка
Видеограф;Фото и видео
Видеомонтажер;Фото и видео
Графический дизайнер;Дизайн
Дизайнер презентаций;Дизайн
Дизайнер рекламных материалов;Дизайн
Дизайнер упаковки;Дизайн
Диктор;Аудио
Директор по CRM;Функциональные директора
Директор по аналитике;Функциональные директора
Директор по аналитике и инсайтам;Функциональные директора
Директор по безопасности;Функциональные директора
Директор по закупкам;Функциональные директора
Директор по инновациям;Функциональные директора
Директор по качеству;Функциональные директора
Директор по клиентскому опыту;Функциональные директора
Директор по коммуникациям;Функциональные директора
Директор по логистике;Функциональные директора
Директор по маркетингу;Функциональные директора
Директор по омниканальности;Функциональные директора
Директор по онлайн-маркетингу;Функциональные директора
Директор по персоналу;Функциональные директора
Директор по правовым вопросам;Право и юриспруденция
Директор по продукту;Функциональные директора
Директор по развитию;Функциональные директора
Директор по стратегии;Функциональные директора
Директор по управлению проектами;Функциональные директора
Директор по устойчивому развитию;Функциональные директора
Директор по цифровой трансформации;Функциональные директора
Директор по цифровым инновациям;Функциональные директора
Директор по цифровым каналам;Функциональные директора
Директор по цифровым технологиям;Функциональные директора
Директор по электронной коммерции;Функциональные директора
Журналист;Тексты и переводы
Звукорежиссер;Аудио
Иллюстратор;Дизайн
Инженер NLP/PLP;Аналитика данных
Инженер БД;Администрирование БД
Инженер микроконтроллеров;Инженеры
Инженер систем мониторинга;Devops
Инженер сопровождения;Техническая поддержка
Инженер-конструктор;Инженеры
Инженер-метролог;Инженеры
ИТ-директор;Исполнительные директора
Кадровый делопроизводитель;Кадровое администрирование
Категорийный менеджер;Продвижение на маркетплейсах
Коммерческий директор;Исполнительные директора
Композитор;Аудио
Консультант 1С;1С разработка
Консультант Directum RX;Техническая поддержка
Консультант Elma365;Техническая поддержка
Консультант SAP BW/BI;SAP разработка
Консультант SAP EWM;SAP разработка
Консультант SAP HCM;SAP разработка
Консультант SAP MM/SD;SAP разработка
Консультант SAP PI;SAP разработка
Консультант SAP PM;SAP разработка
Консультант SAP PP;SAP разработка
Контент-мейкер;Контент-маркетинг
Контент-менеджер;SEO и трафик
Копирайтер;Тексты и переводы
Корпоративный директор;Исполнительные директора
Корпоративный психолог;Забота о персонале
Корректор;Тексты и переводы
Лидер по инновациям;Продуктовый менеджмент
Логист;Управление продуктом и проектом
Маркетолог;Маркетинг
Менеджер маркетплейса;Продвижение на маркетплейсах
Менеджер по некоммерческим закупкам;Управление продуктом и проектом
