position;specialization
Cтарший разработчик WebSoft HCM;Разработчик HCM
Delivery - менеджер;Руководитель проекта
Middle QA тестировщик Keycloak;QA ручной
Middle системный аналитик Keycloak;Системный аналитик
Mobile Senior;Android разработчик
Product менеджер;Менеджер продукта
Senior разработчик Keycloak;Backend разработчик
UX/UI дизайнер Bi Sigla Vision/Fine Bi middle (удаленно);UX/UI дизайнер
UX/UI дизайнер Bi Sigla Vision/Fine Bi senior (удаленно);UX/UI дизайнер
Администрированике продуктов SAP (SAP PO/PI, SAP DS, SAP HR MDM и др.) уровень средний (удаленно);Консультант SAP PI
Аналитик Bi middle (удаленно);Аналитик BI
Аналитик Bi senior (удаленно);Аналитик BI
Архитектор;Архитектор
Архитектор MS OLAP (удаленно);Разработчик BI
Архитектор модели данных (DWH);DWH разработчик
Архитектор облачных решений (удаленно);Solution архитектор
Бизнес анализ, уровень средний;Бизнес аналитик
Бизнес анализ, уровень эксперт;Бизнес аналитик
Бизнес аналитик (DWH);Аналитик DWH
Ведущий системный аналитик BI;Аналитик BI
Ведущий системный аналитик Tessa (Тесса) эксперт (удаленно);Системный аналитик
Главный системный аналитик BI;Аналитик BI
Главный системный аналитик Tessa (Тесса) эксперт (удаленно);Системный аналитик
Продуктовый аналитик WebSoft HCM, уровень эксперт;Продуктовый аналитик
Разработчик Apache Superset (middle developer);Разработчик BI
Разработчик DWH;DWH разработчик
Разработчик MS OLAP (middle);Разработчик BI
Разработчик Oracle, уровень не ниже среднего;Oracle разработчик
Разработчик QlikSense (middle developer) (удаленно);Разработчик BI
Разработчик QlikView (middle developer) (удаленно);Разработчик BI
Разработчик WebSoft HCM;Разработчик HCM
Разработчик хранилища данных;DWH разработчик
Разработчик Bi Sigla Vision/Fine Bi middle (удаленно);Разработчик BI
Разработчик Bi Sigla Vision/Fine Bi senior (удаленно);Разработчик BI
Руководитель проектов;Руководитель проекта
Системный анализ интеграционных решений собственной разработки уровень средний (удаленно);Системный аналитик
Системный анализ интеграционных решений собственной разработки уровень эксперт (удаленно);Системный аналитик
Системный анализ прикладных решений собственной разработки уровень эксперт (удаленно);Аналитик DWH
Системный анализ, уровень средний;Системный аналитик
Системный анализ, уровень эксперт;Системный аналитик
Системный аналитик (DWH) (удаленно);Аналитик DWH
Системный аналитик SQL, GOLD Central, уровень эксперт;Системный аналитик
Системный аналитик SQL, GOLD Stock, уровень эксперт;Системный аналитик
Системный архитектор DWH (удаленно);Системный архитектор
Системный архитектор WebSoft HCM;Системный архитектор
Специалист по S3 (DevOps/облачное хранилище), уровень middle (удаленно);DevOps
Специалист по S3 (DevOps/облачное хранилище), уровень senior (удаленно);DevOps
Специалист по оптимизации Терадата;DWH разработчик
Старший разработчик Apache Superset (senior developer);Разработчик BI
Старший разработчик DWH;DWH разработчик
Старший разработчик QlikSense (senior developer) (удаленно);Разработчик BI
Старший разработчик QlikView (senior developer) (удаленно);Разработчик BI
Старший разработчик хранилища данных;DWH разработчик
Технический писатель (специалист по технической документации в области информационных технологий);Технический писатель
Услуги Data Engineer под стек платформы Rubbles Planning Force, уровень эксперт;Data инженер
Услуги DBA, уровень эксперт;Администратор баз данных
Услуги DevOps 1С (удаленно);DevOps
Услуги devops под стек платформы Rubbles Planning Force, уровень эксперт;DevOps
Услуги DevOps, уровень средний (удаленно);DevOps
Услуги DevOps, уровень эксперт (удаленно);DevOps
Услуги lowcode-разработки ELMA365, уровень средний;Разработчик Low-code
Услуги lowcode-разработки ELMA365, уровень эксперт;Разработчик Low-code
Услуги UX/UI дизайна Rubbles Planning Force, уровень эксперт;UX/UI дизайнер
Услуги UX/UI дизайна, корпоративные приложения (B2E), уровень эксперт (удаленно);UX/UI дизайнер
Услуги UX/UI дизайна, уровень middle (удаленно);UX/UI дизайнер
Услуги UX/UI дизайна,WebSoft HCM, уровень эксперт;UX/UI дизайнер
Услуги анализа качества данных;Data Quality инженер
Услуги анализа, 1С ЗУП (уровень эксперт);Аналитик 1С
Услуги анализа, SEO-продвижение, уровень эксперт (удаленно);SEO специалист
Услуги анализа, UX-редактура, уровень эксперт (удаленно);UX-писатель
Услуги анализа, Websoft HCM (удаленно);Системный аналитик
Услуги анализа, Websoft HCM (уровень эксперт);Системный аналитик
Услуги анализа, аналитик бизнес - процессов;Бизнес аналитик
Услуги анализа, бизнес анализ, уровень эксперт (удаленно);Бизнес аналитик
Услуги анализа, ведущий аналитик бизнес - процессов;Бизнес аналитик
